category,brand,model,description,url,notes
עגלות,Bugaboo,Kangaroo,עגלה המשתנה מיחיד לזוג,https://www.bugaboo.com/us-en/bugaboo-kangaroo/,
עגלות,Bugaboo,Fox 5 Renew,עגלת All-terrain איקונית עם שימוש בחומרים ברי-קיימא,https://www.bugaboo-distributor.co.il/product/fox5/,
עגלות,Bugaboo,Dragonfly,עגלת עיר קומפקטית עם קיפול ביד אחת,https://www.bugaboo-distributor.co.il/product/bugaboo-dragonfly/,
עגלות,Bugaboo,Donkey 6,עגלה רחבה הניתנת להרחבה לשני ילדים,https://www.bugaboo.com/us-en/bugaboo-donkey-6/,
עגלות,Bugaboo,Butterfly 2,טיולון קומפקטי במיוחד המאושר לעלייה למטוס,https://www.bugaboo-distributor.co.il/,
עגלות,Anex,IQ,מערכת טרנספורמר שהופכת מעריסה לטיולון ולבאגי,https://anexbaby.com/strollers/anex-iq,נמכר באתר Anex העולמי
עגלות,Anex,Eli,דגם קל משקל המשתמש בחומר EPP מתקדם,https://anexbaby.com/strollers/eli,
עגלות,Anex,Mev,דגם ארגונומי עם מתאמי גובה,https://bluretailgroup.com/en/products/anex-mev-stroller-compact-stylish,
עגלות,Anex,Flo,עגלה לכל העונות עם מערכת בלימת זעזועים משולשת,https://anexbaby.com/strollers/anex-flo,
עגלות,Anex,Air-X²,טיולון נסיעות קל עם קיפול מהיר ב-3 שניות,https://anexbaby.com/strollers/anex-air-x2,
עגלות,Cybex,Priam 4,דגם הדגל היוקרתי עם בולמי זעזועים בכל הגלגלים,https://cybexonline.co.il/collections/פריאם-priam,קולקציה
עגלות,Cybex,e-Priam,עגלה חכמה עם סיוע חשמלי בעליות ומצב נדנוד אוטומטי,https://cybexonline.co.il/collections/e-priam-עגלה-חשמלית,קולקציה
עגלות,Cybex,Gazelle S,עגלה מודולרית עם מעל 20 קונפיגורציות ליחיד או זוג,https://www.cybex-online.com/en/us/p/st-go-gazelle-s-2.html,
עגלות,Cybex,Mios 3,עגלת עיר קלה וצרה במיוחד,https://www.cybex-online.com/en/us/p/set-st-pl-mios-3-us.html,
עגלות,Cybex,Libelle 2,הטיולון הקל והקטן ביותר של המותג,https://www.cybex-online.com/en/us/p/st-go-libelle-4.html,
עגלות,UPPAbaby,Vista V3,עגלת הדגל המאפשרת הסעת עד שלושה ילדים,https://www.amazon.com/UPPAbaby-Vista-Stroller-Single-Double/dp/B0D9XSJ5X5,נמכר דרך שילב
עגלות,UPPAbaby,Cruz V3,עגלה בגודל מלא אך עם שלדה צרה ותמרון קל,https://uppababy.com/strollers/full-size/cruz-v3/,נמכר דרך שילב
עגלות,UPPAbaby,Minu V3,טיולון קומפקטי עם ביצועים של עגלה גדולה,https://uppababy.com/strollers/lightweight/minu-v3/jake/,נמכר דרך שילב
עגלות,UPPAbaby,Ridge V2,עגלת ריצה לשטח,https://uppababy.com/strollers/full-size/ridge-v2/,נמכר דרך שילב
עגלות,UPPAbaby,G-Luxe,טיולון מטרייה קל ומאובזר,https://uppababy.com/strollers/lightweight/g-luxe/,נמכר דרך שילב
עגלות,Nuna,Mixx Next,עגלת All-terrain עם קיפול קומפקטי,https://nunababy.com/usa/mixx-next-compact-stroller?color_ref=16693,נמכר דרך מפיצים שונים
עגלות,Nuna,Demi Icon,עגלה מודולרית עם יכולת נשיאה גבוהה ובולמי זעזועים מתכווננים,https://nunababy.com/usa/demi-icon-stroller?color_ref=16366,נמכר דרך מפיצים שונים
עגלות,Nuna,Triv Next,עגלת עיר קלה במיוחד עם קיפול קומפקטי,https://nunababy.com/usa/triv-next-stroller?color_ref=16693,נמכר דרך מפיצים שונים
עגלות,Nuna,TRVL lx,טיולון עם קיפול עצמי אוטומטי,https://nunababy.com/usa/trvl-lx-stroller?color_ref=16366,נמכר דרך מפיצים שונים
